Year,Red Wine (Mill Ltr),White Wine  (Mill Ltr),Total (Mill Ltr)
2012-13,658,561,1219
2013-14,609,578,1187
2014-15,602,589,1191
2015-16,690,609,1299
2016-17,764,609,1373
2017-18,663,611,1274
2018-19,684,514,1198
2019-20,612,495,1107
2020-21,854,628,1482
2021-22,713,594,1307
2022-23,519,444,963
